code,name,status,price
sh.600009,上海机场,watch,0.0
sh.600763,通策医疗,watch,0.0
sh.600585,海螺水泥,watch,0.0
sh.600309,万华化学,watch,0.0
sh.603899,晨光文具,watch,0.0
sh.600276,恒瑞医药,watch,0.0
sh.603288,海天味业,watch,0.0
sz.002236,大华股份,pre_buy,0.0
sz.002508,老板电器,watch,0.0
sz.300357,我武生物,watch,0.0
sz.300015,爱尔眼科,watch,0.0
sz.000651,格力电器,pre_buy,0.0
sz.002372,伟星新材,pre_buy,0.0
sz.000333,美的集团,watch,0.0
sz.002032,苏泊尔,watch,0.0
sz.000963,华东医药,watch,0.0
sz.002304,洋河股份,watch,0.0
sz.002120,韵达股份,watch,0.0
sz.002415,海康威视,watch,0.0
